"","GeoCode","Boro_Location","GeoCodeLabel","PassengKilled","InJury_type","NofCases"
"1",109,"Queens 109th Precinct","109th Precinct",0,"Vehicles_or_Motorists_Involved",1248
"2",105,"Queens 105th Precinct","105th Precinct",0,"Vehicles_or_Motorists_Involved",1209
"3",75,"Brooklyn 75th Precinct","75th Precinct",0,"Vehicles_or_Motorists_Involved",1025
"4",108,"Queens 108th Precinct","108th Precinct",0,"Vehicles_or_Motorists_Involved",820
"5",114,"Queens 114th Precinct","114th Precinct",0,"Vehicles_or_Motorists_Involved",795
"6",19,"Manhattan 19th Precinct","19th Precinct",0,"Vehicles_or_Motorists_Involved",792
"7",106,"Queens 106th Precinct","106th Precinct",0,"Vehicles_or_Motorists_Involved",781
"8",67,"Brooklyn 67th Precinct","67th Precinct",0,"Vehicles_or_Motorists_Involved",740
"9",107,"Queens 107th Precinct","107th Precinct",0,"Vehicles_or_Motorists_Involved",735
"10",113,"Queens 113th Precinct","113th Precinct",0,"Vehicles_or_Motorists_Involved",718
"11",111,"Queens 111th Precinct","111th Precinct",0,"Vehicles_or_Motorists_Involved",714
"12",122,"S.Island 122nd Precinct","122nd Precinct",0,"Vehicles_or_Motorists_Involved",708
"13",104,"Queens 104th Precinct","104th Precinct",0,"Vehicles_or_Motorists_Involved",692
"14",45,"Bronx 45th Precinct","45th Precinct",1,"Vehicles_or_Motorists_Involved",680
"15",47,"Bronx 47th Precinct","47th Precinct",0,"Vehicles_or_Motorists_Involved",674
"16",121,"S.Island 121st Precinct","121st Precinct",0,"Vehicles_or_Motorists_Involved",661
"17",102,"Queens 102nd Precinct","102nd Precinct",0,"Vehicles_or_Motorists_Involved",659
"18",43,"Bronx 43rd Precinct","43rd Precinct",0,"Vehicles_or_Motorists_Involved",650
"19",40,"Bronx 40th Precinct","40th Precinct",0,"Vehicles_or_Motorists_Involved",637
"20",18,"Manhattan Midtown North Precinct","Midtown North Precinct",0,"Vehicles_or_Motorists_Involved",636
"21",14,"Manhattan Midtown South Precinct","Midtown South Precinct",0,"Vehicles_or_Motorists_Involved",630
"22",115,"Queens 115th Precinct","115th Precinct",0,"Vehicles_or_Motorists_Involved",611
"23",103,"Queens 103rd Precinct","103rd Precinct",0,"Vehicles_or_Motorists_Involved",592
"24",44,"Bronx 44th Precinct","44th Precinct",0,"Vehicles_or_Motorists_Involved",574
"25",90,"Brooklyn 90th Precinct","90th Precinct",0,"Vehicles_or_Motorists_Involved",567
"26",1,"Manhattan 1st Precinct","1st Precinct",0,"Vehicles_or_Motorists_Involved",561
"27",110,"Queens 110th Precinct","110th Precinct",0,"Vehicles_or_Motorists_Involved",548
"28",17,"Manhattan 17th Precinct","17th Precinct",0,"Vehicles_or_Motorists_Involved",544
"29",84,"Brooklyn 84th Precinct","84th Precinct",0,"Vehicles_or_Motorists_Involved",537
"30",72,"Brooklyn 72nd Precinct","72nd Precinct",0,"Vehicles_or_Motorists_Involved",526
"31",52,"Bronx 52nd Precinct","52nd Precinct",0,"Vehicles_or_Motorists_Involved",520
"32",68,"Brooklyn 68th Precinct","68th Precinct",0,"Vehicles_or_Motorists_Involved",517
"33",62,"Brooklyn 62nd Precinct","62nd Precinct",0,"Vehicles_or_Motorists_Involved",514
"34",61,"Brooklyn 61st Precinct","61st Precinct",0,"Vehicles_or_Motorists_Involved",509
"35",70,"Brooklyn 70th Precinct","70th Precinct",0,"Vehicles_or_Motorists_Involved",501
"36",10,"Manhattan 10th Precinct","10th Precinct",0,"Vehicles_or_Motorists_Involved",479
"37",48,"Bronx 48th Precinct","48th Precinct",0,"Vehicles_or_Motorists_Involved",450
"38",49,"Bronx 49th Precinct","49th Precinct",1,"Vehicles_or_Motorists_Involved",447
"39",120,"S.Island 120th Precinct","120th Precinct",0,"Vehicles_or_Motorists_Involved",442
"40",63,"Brooklyn 63rd Precinct","63rd Precinct",0,"Vehicles_or_Motorists_Involved",437
"41",83,"Brooklyn 83rd Precinct","83rd Precinct",0,"Vehicles_or_Motorists_Involved",433
"42",25,"Manhattan 25th Precinct","25th Precinct",0,"Vehicles_or_Motorists_Involved",432
"43",112,"Queens 112th Precinct","112th Precinct",0,"Vehicles_or_Motorists_Involved",426
"44",66,"Brooklyn 66th Precinct","66th Precinct",0,"Vehicles_or_Motorists_Involved",421
"45",94,"Brooklyn 94th Precinct","94th Precinct",0,"Vehicles_or_Motorists_Involved",421
"46",13,"Manhattan 13th Precinct","13th Precinct",0,"Vehicles_or_Motorists_Involved",414
"47",46,"Bronx 46th Precinct","46th Precinct",0,"Vehicles_or_Motorists_Involved",399
"48",60,"Brooklyn 60th Precinct","60th Precinct",0,"Vehicles_or_Motorists_Involved",398
"49",71,"Brooklyn 71st Precinct","71st Precinct",0,"Vehicles_or_Motorists_Involved",396
"50",73,"Brooklyn 73rd Precinct","73rd Precinct",0,"Vehicles_or_Motorists_Involved",395
"51",77,"Brooklyn 77th Precinct","77th Precinct",0,"Vehicles_or_Motorists_Involved",394
"52",79,"Brooklyn 79th Precinct","79th Precinct",0,"Vehicles_or_Motorists_Involved",388
"53",69,"Brooklyn 69th Precinct","69th Precinct",0,"Vehicles_or_Motorists_Involved",377
"54",5,"Manhattan 5th Precinct","5th Precinct",0,"Vehicles_or_Motorists_Involved",376
"55",41,"Bronx 41st Precinct","41st Precinct",0,"Vehicles_or_Motorists_Involved",343
"56",76,"Brooklyn 76th Precinct","76th Precinct",0,"Vehicles_or_Motorists_Involved",307
"57",34,"Manhattan 34th Precinct","34th Precinct",0,"Vehicles_or_Motorists_Involved",297
"58",78,"Brooklyn 78th Precinct","78th Precinct",0,"Vehicles_or_Motorists_Involved",297
"59",50,"Bronx 50th Precinct","50th Precinct",0,"Vehicles_or_Motorists_Involved",288
"60",123,"S.Island 123rd Precinct","123rd Precinct",0,"Vehicles_or_Motorists_Involved",288
"61",42,"Bronx 42nd Precinct","42nd Precinct",0,"Vehicles_or_Motorists_Involved",282
"62",33,"Manhattan 33rd Precinct","33rd Precinct",0,"Vehicles_or_Motorists_Involved",277
"63",23,"Manhattan 23rd Precinct","23rd Precinct",0,"Vehicles_or_Motorists_Involved",259
"64",88,"Brooklyn 88th Precinct","88th Precinct",0,"Vehicles_or_Motorists_Involved",257
"65",20,"Manhattan 20th Precinct","20th Precinct",0,"Vehicles_or_Motorists_Involved",256
"66",32,"Manhattan 32nd Precinct","32nd Precinct",0,"Vehicles_or_Motorists_Involved",252
"67",6,"Manhattan 6th Precinct","6th Precinct",0,"Vehicles_or_Motorists_Involved",249
"68",9,"Manhattan 9th Precinct","9th Precinct",0,"Vehicles_or_Motorists_Involved",241
"69",81,"Brooklyn 81st Precinct","81st Precinct",0,"Vehicles_or_Motorists_Involved",223
"70",24,"Manhattan 24th Precinct","24th Precinct",0,"Vehicles_or_Motorists_Involved",209
"71",7,"Manhattan 7th Precinct","7th Precinct",0,"Vehicles_or_Motorists_Involved",195
"72",101,"Queens 101st Precinct","101st Precinct",0,"Vehicles_or_Motorists_Involved",192
"73",28,"Manhattan 28th Precinct","28th Precinct",0,"Vehicles_or_Motorists_Involved",161
"74",30,"Manhattan 30th Precinct","30th Precinct",0,"Vehicles_or_Motorists_Involved",157
"75",100,"Queens 100th Precinct","100th Precinct",0,"Vehicles_or_Motorists_Involved",152
"76",26,"Manhattan 26th Precinct","26th Precinct",0,"Vehicles_or_Motorists_Involved",148
"77",22,"Manhattan Central Park Precinct","Central Park Precinct",0,"Vehicles_or_Motorists_Involved",6
"78",NA,"","",NA,"Number_of_Motor_Vehicle_Collisions",NA
